ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN,Demand Score,Stability Score,Competition Score,Margin Score,Composite Score,Cash Flow Score,Profit Score,Balanced Score,Opportunity Lane,Commercial Priority,Monthly Gross Profit,Price Compression,Lane Reason,Verdict,Verdict Reason
B0CR1FH8T3,"HEAD Coco 25 Tennis Racket, Mint, 8-10 Years",HEAD,https://www.amazon.co.uk/dp/B0CR1FH8T3,Sports & Outdoors,OK,23.99,23.99,0.0%,11926,7503,70,0,10,9,Y,4.65,4.46,9.11,15.59,-0.71,-4.5%,12.40,24.70,98%,Amazon,yes,4.6,355,2,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0724794748459,724794748459,,10,10,0,0,6,4.7,1,2.7,UNASSIGNED,9,-99.40,OK,,MAYBE-ROI,MAYBE-ROI | 140/mo | GBP-0.71 profit | GBP-99.40 monthly gross | stable | 10 sellers | needs trade under GBP12.40
B089KKLJF6,Fdit Tennis Ball Box Tennis Ball Pressurizer Can Pressure Maintaining Repairing Storage Can Container Sports Accessories,Fdit,https://www.amazon.co.uk/dp/B089KKLJF6,Sports & Outdoors,OK,20.81,22.91,9.0%,12020,21888,28,50,2,2,N,2.70,3.96,6.66,13.53,0.62,4.6%,11.79,20.19,0%,Aqur2020 (96%) / ADHC6AY9FIB0M,yes,3.6,16,9,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,6480304877647,,06480304877647,10,10,9,0,7.8,7.4,1.9,5,CASH FLOW,3,34.70,OK,CASH FLOW | GBP34.70/mo | 56/mo | GBP0.62 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 56/mo | GBP0.62 profit | GBP34.70 monthly gross | stable | 2 sellers
B0GNMVQCK2,"Raquex Engage 2 Padel Racket Bag – Carry Handle + Twin Shoulder Straps (Backpack Style) - Thermal Lining, Shoe Compartment, Central Storage (Blue)",Raquex,https://www.amazon.co.uk/dp/B0GNMVQCK2,Sports & Outdoors,OK,32.90,31.26,-5.0%,7644,6884,8,0,2,2,N,4.65,5.83,10.48,21.39,1.03,4.8%,18.68,31.87,0%,Raquex (98%) / A2E9ZYWNE0GH2W,yes,5.0,1,9,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5061045521061,,,10,8,7,0,6.8,4.5,1.6,3.1,CASH FLOW,3,16.50,OK,CASH FLOW | GBP16.50/mo | 16/mo | GBP1.03 unit profit | stable | 2 sellers,MAYBE-ROI,CASH FLOW | 16/mo | GBP1.03 profit | GBP16.50 monthly gross | stable | 2 sellers
B0CS3P2WXD,Odyssey Golf Funky Putter Headcover Collection 2024 Unisex Luck Blade,Odyssey,https://www.amazon.co.uk/dp/B0CS3P2WXD,Sports & Outdoors,OK,24.95,24.78,-1.0%,8300,11092,25,0,5,5,Y,3.04,4.60,7.64,16.22,1.09,6.7%,14.43,23.86,100%,Amazon,yes,4.8,91,3,N,3,WEAK,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0197193029731,197193029731,,10,8,4,0,6.2,5.8,1.9,4.2,CASH FLOW,3,54.50,OK,CASH FLOW | GBP54.50/mo | 50/mo | GBP1.09 unit profit | stable | 5 sellers,MAYBE-ROI,CASH FLOW | 50/mo | GBP1.09 profit | GBP54.50 monthly gross | stable | 5 sellers
B0FL4GRN1R,Wilson Champ Badminton Racket & Racketworld Premium Badminton Carry Case,Generic,https://www.amazon.co.uk/dp/B0FL4GRN1R,Sports & Outdoors,OK,25.95,25.27,-3.0%,12668,8092,112,50,2,2,N,4.50,4.76,9.26,16.87,-0.18,-1.0%,13.91,26.13,0%,Racketworld (85%) / A2U69NIMV1A46Q,yes,4.1,8,1,N,3,WEAK,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,,10,8,9,0,7.2,6.6,1.8,4.3,UNASSIGNED,9,-40.30,OK,,BRAND APPROACH,BRAND APPROACH | 224/mo | GBP-0.18 profit | GBP-40.30 monthly gross | stable | 2 sellers | weak listing 1 imgs
B09QF6DYH3,"Titleist StaDry Performance Golf Towel, Black",Titleist,https://www.amazon.co.uk/dp/B09QF6DYH3,Sports & Outdoors,OK,40.00,40.00,0.0%,16988,31816,44,0,2,2,Y,2.91,6.92,9.83,26.00,4.17,16.0%,25.14,35.83,100%,Amazon,yes,4.4,87,2,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,0706843064277,706843064277,,10,10,7,1,7.6,8.1,5.5,7,CASH FLOW,1,367.00,OK,CASH FLOW | GBP367.00/mo | 88/mo | GBP4.17 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 88/mo | GBP4.17 profit | GBP367.00 monthly gross | stable | 2 sellers
B076HM7SCW,FORB Academy Golf Practice Mat [5ft x 3.2ft] | Professional Artificial Turf Hitting Mat with 3 Rubber Tees | Golf Training Aids – 13mm Thickness,FORB,https://www.amazon.co.uk/dp/B076HM7SCW,Sports & Outdoors,HEAVY,49.99,53.88,7.0%,22191,24828,50,0,2,2,N,8.82,8.62,17.44,32.49,0.06,0.2%,27.13,49.93,0%,Net World Sports (65%) / A2U6UUBP4GOB5A,no,3.9,240,7,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5055984498478,,05055984498478,9,10,10,0,7.7,7,2,4.5,UNASSIGNED,9,6.00,OK,,MAYBE,MAYBE | 100/mo | GBP0.06 profit | GBP6.00 monthly gross | stable | 2 sellers | ROI 0%
B0DXKV1V3P,"DUNLOP Tennis Racket TRISTORM JR 23, Grip Size 00, Blue/Red",Dunlop Sports,https://www.amazon.co.uk/dp/B0DXKV1V3P,Sports & Outdoors,OK,22.00,20.89,-5.0%,32529,36079,19,0,4,3,Y,4.50,4.14,8.64,14.30,-0.94,-6.6%,11.13,22.94,84%,Amazon,yes,4.4,6,2,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0045566183347,045566183347,,8,8,3,0,5.4,3.5,0.8,1.9,UNASSIGNED,9,-35.70,OK,,MAYBE-ROI,MAYBE-ROI | 38/mo | GBP-0.94 profit | GBP-35.70 monthly gross | stable | 4 sellers | needs trade under GBP11.13
B0C2F5BCKK,"Tournament 4 Player Set, BLACK/RED, BLACK/BLUE",Carlton,https://www.amazon.co.uk/dp/B0C2F5BCKK,Sports & Outdoors,OK,25.71,30.28,15.0%,14212,98944,14,0,4,4,Y,4.65,4.72,9.37,16.71,-0.37,-2.2%,13.62,26.08,53%,Amazon,yes,4.2,150,1,Y,5,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0045566806383,045566806383,,9,10,6,0,6.9,4.2,0.9,2.3,UNASSIGNED,9,-10.40,SQUEEZED,,MAYBE-ROI,MAYBE-ROI | 28/mo | GBP-0.37 profit | GBP-10.40 monthly gross | SQUEEZED | 4 sellers | needs trade under GBP13.62
B09TG4W776,Yonex Arcsaber 11 Play Badminton Pre-Strung Racket (Grayish Pearl) (4UG5),YONEX,https://www.amazon.co.uk/dp/B09TG4W776,Sports & Outdoors,OK,49.99,48.49,-3.0%,14280,11572,78,100,8,9,N,4.50,8.47,12.97,32.49,4.53,13.9%,30.85,45.46,0%,Javi Creations (100%) / A382Y8GGK7KC97,yes,4.1,463,4,N,3,AVERAGE,N,-,MAYBE-ROI,,KEEPA,0008235650120,008235650120,,10,8,6,1,6.8,9,5.2,8.1,BALANCED,1,706.70,OK,BALANCED | GBP706.70/mo | 156/mo | GBP4.53 unit profit | stable | 8 sellers,MAYBE-ROI,BALANCED | 156/mo | GBP4.53 profit | GBP706.70 monthly gross | stable | 8 sellers
B09QF8XJ9H,"Titleist Players Terry Golf Towel, White/Black",Titleist,https://www.amazon.co.uk/dp/B09QF8XJ9H,Sports & Outdoors,OK,26.00,26.00,0.0%,13490,27644,22,0,2,2,Y,2.90,4.76,7.66,16.90,1.44,8.5%,15.28,24.56,100%,Amazon,yes,4.6,116,1,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,0706843027364,706843027364,,10,10,7,0,7.4,6.4,2.5,4.8,CASH FLOW,3,63.40,OK,CASH FLOW | GBP63.40/mo | 44/mo | GBP1.44 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 44/mo | GBP1.44 profit | GBP63.40 monthly gross | stable | 2 sellers
B000L0SMK4,"Longridge Putt 'N' Hazard Golf Putting Mat - Indoor Outdoor Training Aid, Practice Green with Bunkers & Water Hazards",Longridge,https://www.amazon.co.uk/dp/B000L0SMK4,Sports & Outdoors,OK,24.93,24.52,-2.0%,14400,6834,101,50,7,7,Y,4.37,4.60,8.97,16.20,-0.24,-1.5%,13.30,25.17,93%,Amazon,yes,4.4,739,5,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5060035122363,,,10,8,2,0,5.8,4.6,0.9,2.6,UNASSIGNED,9,-48.50,OK,,MAYBE-ROI,MAYBE-ROI | 202/mo | GBP-0.24 profit | GBP-48.50 monthly gross | stable | 7 sellers | needs trade under GBP13.30
B0FL2S5VR3,"HEAD Paw Patrol 21 Junior Tennis Racquet, white",HEAD,https://www.amazon.co.uk/dp/B0FL2S5VR3,Sports & Outdoors,OK,26.38,25.94,-2.0%,9845,9955,36,0,2,1,Y,3.93,4.82,8.75,17.15,0.48,2.8%,14.69,25.90,100%,Amazon,yes,4.8,20,5,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,0198772075446,198772075446,,10,8,6,0,6.6,5.9,1,3.6,UNASSIGNED,9,34.60,OK,,MAYBE-ROI,MAYBE-ROI | 72/mo | GBP0.48 profit | GBP34.60 monthly gross | stable | 2 sellers | needs trade under GBP14.69
B083Y29SDG,Babolat GOLD ALL COURT TENNIS BALLS - 1 DOZEN,Babolat,https://www.amazon.co.uk/dp/B083Y29SDG,Sports & Outdoors,OK,24.95,23.84,-5.0%,14823,59765,19,0,2,1,N,0.00,4.60,4.60,16.22,4.13,25.5%,16.96,20.82,0%,Racquet Depot UK (88%) / A2XJF6955O5VGL,no,4.7,15,2,N,3,WEAK,N,-,,LOW SELLER CHECK,KEEPA,3324921794303,,,10,8,8,5,8,8.2,7.2,7.8,BALANCED,2,156.90,OK,BALANCED | GBP156.90/mo | 38/mo | GBP4.13 unit profit | stable | 2 sellers,BRAND APPROACH,BALANCED | 38/mo | GBP4.13 profit | GBP156.90 monthly gross | stable | 2 sellers
B0FQK4M4VR,"Carlton Nanomax Pro Ti Badminton Set, 2 Player Set with Rackets, Carry Cover & Shuttles",Carlton,https://www.amazon.co.uk/dp/B0FQK4M4VR,Sports & Outdoors,OK,29.99,31.99,6.0%,14960,12519,61,50,2,1,N,4.35,5.38,9.73,19.49,0.76,3.9%,16.88,29.23,0%,Racketworld (85%) / A2U69NIMV1A46Q,yes,0.0,0,1,N,3,WEAK,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,0045566810304,045566810304,,10,10,8,0,7.6,9.1,2.6,6.7,CASH FLOW,3,92.70,OK,CASH FLOW | GBP92.70/mo | 122/mo | GBP0.76 unit profit | stable | 2 sellers,BRAND APPROACH,CASH FLOW | 122/mo | GBP0.76 profit | GBP92.70 monthly gross | stable | 2 sellers
B0D4LND3T1,YONEX Badminton Racquet NANOFLARE Speed 7 Blue G4 4U,YONEX,https://www.amazon.co.uk/dp/B0D4LND3T1,Sports & Outdoors,OK,31.00,30.49,-2.0%,15006,15335,59,50,4,5,N,4.50,5.53,10.03,20.15,0.82,4.0%,17.47,30.18,0%,Pappy Mart (72%) / A25PZFC4F8HGHQ,no,4.2,220,8,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,8903224402464,,,10,8,8,0,7,8.8,2.4,6.5,CASH FLOW,3,96.80,OK,CASH FLOW | GBP96.80/mo | 118/mo | GBP0.82 unit profit | stable | 4 sellers,MAYBE,CASH FLOW | 118/mo | GBP0.82 profit | GBP96.80 monthly gross | stable | 4 sellers
B0CWNG54RQ,"Mixweer 4 Pcs Caddy Golf Towel 22"" x 42"" Large Cotton Soft Golf Towels for Men, Black with White Stripe",Mixweer,https://www.amazon.co.uk/dp/B0CWNG54RQ,Sports & Outdoors,OK,21.31,23.20,8.0%,31167,94601,11,0,8,6,N,3.13,4.04,7.17,13.85,0.29,2.1%,11.78,21.02,0%,QimoShion (82%) / AR6LXXGI7DSSE,no,4.5,116,6,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,,,,7,10,5,0,6.1,4.9,1.5,3.3,UNASSIGNED,9,6.40,OK,,MAYBE-ROI,MAYBE-ROI | 22/mo | GBP0.29 profit | GBP6.40 monthly gross | stable | 8 sellers | needs trade under GBP11.78
B08DQQRYQL,"Kirkland Signature Golf Gloves Premium Cabretta Leather, Medium (4 Count)",KIRKLAND,https://www.amazon.co.uk/dp/B08DQQRYQL,Sports & Outdoors,OK,31.95,31.94,0.0%,15422,29273,42,0,9,8,N,2.85,5.68,8.53,20.77,2.65,12.7%,19.51,29.30,0%,Wildflower Trading Ltd (91%) / AAQW3RYFV,no,4.5,422,7,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,"0096619105724, 0096619126040","096619105724, 096619126040",,10,10,0,0,6,8.7,4.1,7.3,CASH FLOW,1,222.60,OK,CASH FLOW | GBP222.60/mo | 84/mo | GBP2.65 unit profit | stable | 9 sellers,MAYBE-ROI,CASH FLOW | 84/mo | GBP2.65 profit | GBP222.60 monthly gross | stable | 9 sellers
B000RG12X6,"Longridge BA5P Pencil Golf Bag, Black/Navy, 5"", One Size",Longridge,https://www.amazon.co.uk/dp/B000RG12X6,Sports & Outdoors,OK,23.25,22.76,-2.0%,15497,14359,43,0,3,5,Y,3.93,4.34,8.27,15.11,-0.13,-0.9%,12.48,23.38,88%,Amazon,yes,4.0,1210,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5060035127566,,05060035127566,10,8,7,0,6.8,5.1,1.2,2.9,UNASSIGNED,9,-11.20,OK,,MAYBE-ROI,MAYBE-ROI | 86/mo | GBP-0.13 profit | GBP-11.20 monthly gross | stable | 3 sellers | needs trade under GBP12.48
B0CT298VVV,"SPORTNOW 3(m) Badminton Net, Foldable Height Adjustable Outdoor Sports Net with Carry Bag, for Tennis, Badminton, Pickleball, Volleyball, Black and Yellow",SPORTNOW,https://www.amazon.co.uk/dp/B0CT298VVV,Sports & Outdoors,OK,26.47,24.39,-9.0%,15577,16153,64,50,2,1,Y,4.95,4.84,9.79,17.21,-0.52,-3.0%,13.90,26.99,44%,Amazon,yes,4.4,29,9,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK; LOW SELLER CHECK,KEEPA,5056725376529,,,10,6,9,0,6.6,6.2,1.6,4,UNASSIGNED,9,-66.60,OK,,MAYBE-ROI,MAYBE-ROI | 128/mo | GBP-0.52 profit | GBP-66.60 monthly gross | stable | 2 sellers | needs trade under GBP13.90
B0C6FPVTGW,Yonex NanoFlare 1000 Play Badminton Racquet (4UG5) - Prestrung,YONEX,https://www.amazon.co.uk/dp/B0C6FPVTGW,Sports & Outdoors,OK,55.99,58.19,4.0%,15894,19630,55,50,9,7,N,4.35,9.39,13.74,36.39,5.85,16.1%,35.21,50.14,0%,Pappy Mart (72%) / A25PZFC4F8HGHQ,no,4.3,128,5,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,0008235715751,008235715751,,10,10,0,1,6.2,8.8,6,8.3,CASH FLOW,1,643.50,OK,CASH FLOW | GBP643.50/mo | 110/mo | GBP5.85 unit profit | stable | 9 sellers,MAYBE-ROI,CASH FLOW | 110/mo | GBP5.85 profit | GBP643.50 monthly gross | stable | 9 sellers
B0183LJ4IG,"Wilson Teaching Cart Bag - Orange, N/A",Wilson,https://www.amazon.co.uk/dp/B0183LJ4IG,Sports & Outdoors,OK,35.00,36.18,3.0%,16142,47807,51,0,6,5,Y,4.15,6.15,10.30,22.75,1.95,8.6%,20.58,33.05,80%,Amazon,yes,4.4,169,3,N,3,WEAK,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0887768332679,887768332679,00887768332679,10,10,2,0,6.4,7.5,2.4,5.6,CASH FLOW,2,198.90,OK,CASH FLOW | GBP198.90/mo | 102/mo | GBP1.95 unit profit | stable | 6 sellers,MAYBE-ROI,CASH FLOW | 102/mo | GBP1.95 profit | GBP198.90 monthly gross | stable | 6 sellers
B00P4NKZGC,"Donic Bluefire M3 Table Tennis Rubber (Black, Max)",Donic,https://www.amazon.co.uk/dp/B00P4NKZGC,Sports & Outdoors,OK,41.54,41.83,1.0%,87226,132679,3,0,3,2,N,2.08,7.16,9.24,27.00,5.30,19.6%,26.92,36.24,0%,TT-Shop Ostalb (100%) / A3A3JFYFDU4GWG,no,4.6,55,5,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,4250819020041,,,1,10,9,1,5.3,5.6,6.1,6,BALANCED,3,31.80,OK,BALANCED | GBP31.80/mo | 6/mo | GBP5.30 unit profit | stable | 3 sellers,MAYBE-ROI,BALANCED | 6/mo | GBP5.30 profit | GBP31.80 monthly gross | stable | 3 sellers
B0DX2KMHXB,"Wilson Champ 90 Badminton Racket, Dynamic Frame For Enhanced Strength, Vibrant Two-Tone Design, Comes Pre-Strung, Colour: Blue/White, Size: 3",Wilson,https://www.amazon.co.uk/dp/B0DX2KMHXB,Sports & Outdoors,OK,22.00,22.54,2.0%,26359,40034,21,0,4,4,Y,4.50,4.15,8.65,14.30,-0.95,-6.6%,11.13,22.95,53%,Amazon,yes,4.4,23,6,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0097512770569,097512770569,,9,10,6,0,6.9,5.1,1.4,3.1,UNASSIGNED,9,-39.90,OK,,MAYBE-ROI,MAYBE-ROI | 42/mo | GBP-0.95 profit | GBP-39.90 monthly gross | stable | 4 sellers | needs trade under GBP11.13
