ASIN,Niche,Verdict,Reason,Date Added,Source Phase
B0BTPZRJDG,educational-toys,NO,17 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0FLBKYWWR,educational-toys,NO,15 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CQM3DQXM,educational-toys,NO,Score 6.9 | BSR 14k | 7 sellers | ROI 37%,2026-03-21,Phase 3
B0CZSPMHJ8,educational-toys,NO,Score 6.9 | BSR 14k | 8 sellers | ROI 32%,2026-03-21,Phase 3
B07L8T6XFV,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DB1X66BZ,educational-toys,NO,13 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DD479TM8,educational-toys,NO,Score 6.5 | BSR 15k | 6 sellers | ROI 30%,2026-03-21,Phase 3
B0CLS8L3R7,educational-toys,NO,Score 6.4 | BSR 21k | 4 sellers | ROI 33%,2026-03-21,Phase 3
B0DQLPRDTQ,educational-toys,NO,14 sellers vs 300/mo = oversaturated,2026-03-21,Phase 3
B0D8QB2ZFZ,educational-toys,NO,15 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B01MS6B7BV,educational-toys,NO,13 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DQY5SCP9,educational-toys,NO,13 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0CMGR1F4J,educational-toys,NO,11 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0DRLKNLGD,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0C87WK67Z,educational-toys,NO,12 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B01CETNKE2,educational-toys,NO,19 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0F85W7DFN,educational-toys,NO,Score 6.8 | BSR 19k | 7 sellers | ROI 35%,2026-03-21,Phase 3
B0DQ6J19CL,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DPNH5TBQ,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B07JJZLZFW,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B09B4D66Y4,educational-toys,NO,14 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CBNQ9VF7,educational-toys,NO,Score 6.8 | BSR 20k | 4 sellers | ROI 39%,2026-03-21,Phase 3
B0BYRJ2JSQ,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B09TPRCVTN,educational-toys,NO,20 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0D849PKNL,educational-toys,NO,12 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0889B6BJK,educational-toys,NO,12 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CJHRRHPJ,educational-toys,NO,15 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0D9521W14,educational-toys,NO,13 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B09BNTTYDL,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CCSQLYMM,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DJDDVDRR,educational-toys,NO,14 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0BZT443MB,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B085XZ2T84,educational-toys,NO,17 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B09BW5CDRR,educational-toys,NO,18 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DL7SD7HY,educational-toys,NO,16 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0DHVMWXKX,educational-toys,NO,9 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B00HAOC9HQ,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0BP2GDNW8,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CNJ18NJ6,educational-toys,NO,Score 6.3 | BSR 26k | 5 sellers | ROI 33%,2026-03-21,Phase 3
B0BFG4JVC5,educational-toys,NO,Score 6.6 | BSR 27k | 6 sellers | ROI 41%,2026-03-21,Phase 3
B0FHJQS19N,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B002MCYVAY,educational-toys,NO,Score 6.9 | BSR 27k | 7 sellers | ROI 34%,2026-03-21,Phase 3
B00261RLJ4,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B08XYBPDWG,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0FPXTLZ21,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B09T6XXM61,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DK7YBH7T,educational-toys,NO,15 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0C8HV9S16,educational-toys,NO,Score 6.1 | BSR 44k | 5 sellers | ROI 33%,2026-03-21,Phase 3
B0CFRCSWYZ,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B01M7O3TOW,educational-toys,NO,13 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0BHKRMRRM,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B083ZZ88T2,educational-toys,NO,13 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0D5XJNWGF,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0D1XZRLBN,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0F4YNPYQM,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B07NJ4F4GK,educational-toys,NO,Score 6.4 | BSR 31k | 7 sellers | ROI 36%,2026-03-21,Phase 3
B0CMGDLQC9,educational-toys,NO,13 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0F3KTCWZW,educational-toys,NO,12 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CTS2Z235,educational-toys,NO,15 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0FJ2SSF7H,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B00HQAK4IA,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B00UB7OV7K,educational-toys,NO,Score 5.1 | BSR 34k | 8 sellers | ROI 33%,2026-03-21,Phase 3
B07KPT4L3N,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B00BJH4NXS,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B01KJEOCDW,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0D94ZGVWQ,educational-toys,NO,12 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0D9R6R8W8,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0D5XRF771,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B07KWYFPCH,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B07GL9RCL8,educational-toys,NO,12 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0FMY35XVY,educational-toys,NO,Score 6.9 | BSR 38k | 3 sellers | ROI 44%,2026-03-21,Phase 3
B0BF68T5RT,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CFTKJ785,educational-toys,NO,13 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B09YDDJ7M4,educational-toys,NO,Score 6.9 | BSR 39k | 4 sellers | ROI 35%,2026-03-21,Phase 3
B0CN98J1HP,educational-toys,NO,Score 6.9 | BSR 39k | 5 sellers | ROI 36%,2026-03-21,Phase 3
B07W4KSKXZ,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CS7G51Y1,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0FMF85VWV,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B06W5XM621,educational-toys,NO,Score 6 | BSR 41k | 8 sellers | ROI 32%,2026-03-21,Phase 3
B0BN44T1H8,educational-toys,NO,19 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B0DMS1WW4D,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B06XGYBZDR,educational-toys,NO,15 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0837J2GPW,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0B5HM21JQ,educational-toys,NO,Score 6.9 | BSR 44k | 8 sellers | ROI 32%,2026-03-21,Phase 3
B0CNH85345,educational-toys,NO,17 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0F6NLM6PQ,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0BSHZ9TGW,educational-toys,NO,Score 6.6 | BSR 45k | 7 sellers | ROI 34%,2026-03-21,Phase 3
B00000DMCE,educational-toys,NO,13 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0D9521PV9,educational-toys,NO,12 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0843H7WHX,educational-toys,NO,10 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B09BNX9FLF,educational-toys,NO,19 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B01EYVP0XC,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B075BW3WTR,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B07QKZYZ1P,educational-toys,NO,19 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CLPC7MVQ,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DTB3DJNL,educational-toys,NO,Score 6.2 | BSR 52k | 3 sellers | ROI 39%,2026-03-21,Phase 3
B0FLXBWL65,educational-toys,NO,Score 6.9 | BSR 24k | 2 sellers | ROI 35%,2026-03-21,Phase 3
B08HSVBXTM,educational-toys,NO,19 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DNRSHS5Q,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0FH7NC19T,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B09JX26388,educational-toys,NO,Score 5.9 | BSR 83k | 2 sellers | ROI 38%,2026-03-21,Phase 3
B00BM3RBS8,educational-toys,NO,14 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B081WS3NV9,educational-toys,NO,Score 6.2 | BSR 59k | 7 sellers | ROI 40%,2026-03-21,Phase 3
B09JSMVZFY,educational-toys,NO,Score 5.4 | BSR 64k | 4 sellers | ROI 45%,2026-03-21,Phase 3
B0BSHRYPFB,educational-toys,NO,10 sellers vs 100/mo = oversaturated,2026-03-21,Phase 3
B01378F32G,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0CNJ2R8NT,educational-toys,NO,Score 6.5 | BSR 69k | 7 sellers | ROI 38%,2026-03-21,Phase 3
B0C4BGGDNX,educational-toys,NO,Score 6.9 | BSR 71k | 4 sellers | ROI 36%,2026-03-21,Phase 3
B0C8HZ5QBJ,educational-toys,NO,12 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DXDTMYPK,educational-toys,NO,12 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B00AZGE6HW,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B09L1DLSTM,educational-toys,NO,Score 5.5 | BSR 87k | 3 sellers | ROI 35%,2026-03-21,Phase 3
B0DK7YT9MS,educational-toys,NO,Score 6.3 | BSR 88k | 6 sellers | ROI 41%,2026-03-21,Phase 3
B0CVXNJHNP,educational-toys,NO,20 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B01MAWML2F,educational-toys,NO,Score 5.5 | BSR 91k | 5 sellers | ROI 39%,2026-03-21,Phase 3
B06Y1N3PTX,educational-toys,NO,16 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0C81FMGWY,educational-toys,NO,9 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DSB5BPVM,educational-toys,NO,Score 5.7 | BSR 101k | 3 sellers | ROI 39%,2026-03-21,Phase 3
B0DK7YX9NM,educational-toys,NO,11 sellers vs 50/mo = oversaturated,2026-03-21,Phase 3
B0DB3LRJL1,educational-toys,NO,Score 5 | BSR 95k | 3 sellers | ROI 35%,2026-03-21,Phase 3
B01MRZPE2B,educational-toys,NO,Score 5.6 | BSR 101k | 3 sellers | ROI 35%,2026-03-21,Phase 3
B0DHH9VR31,educational-toys,NO,Score 4 | BSR 101k | 7 sellers | ROI 37%,2026-03-21,Phase 3
B003DVZXF0,educational-toys,NO,Score 6 | BSR 119k | 7 sellers | ROI 42%,2026-03-21,Phase 3
B0DV4475PN,educational-toys,NO,Score 4.8 | BSR 122k | 7 sellers | ROI 39%,2026-03-21,Phase 3
