ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,Decision,Decision Score,Decision Reason,Joinability Status,Buy Readiness,Max Buy Price,Target Buy Price,Cost Gap,Margin Status,Action Note,Shortlist Flag
B0CKHXWTFQ,"Zesty Paws Probiotic Chews for Dogs | Supports Gut Health, Stool Quality & Digestive Balance, Bad Breath | Contains Prebiotics, Probiotics & Postbiotics, Pumpkin & Linseed | Daily Use | 90 Chews",Zesty Paws,https://www.amazon.co.uk/dp/B0CKHXWTFQ,Pet Supplies,,MAYBE,CASH FLOW | 800/mo | GBP1.24 profit | GBP992.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP992.00/mo | 800/mo | GBP1.24 unit profit | stable | 2 sellers,7.8,10,10,9,0,9.4,2.9,7,GBP992,OK,UNKNOWN,GBP29.58,GBP29.64,STABLE,GBP0.00,GBP0.00,GBP9.11,GBP19.23,GBP1.24,6.5%,GBP16.37,GBP4.05,1061,108,800,0.0,0,N,2,Y,0%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP992.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Reject,GBP16.37,GBP14.73,,Fail,Avoid listing,N
B06XQ492N8,"JOYELF Large Memory Foam Dog Bed, Orthopedic Dog Bed & Sofa with Removable Washable Cover and Squeaker Toys as Gift",JOYELF,https://www.amazon.co.uk/dp/B06XQ492N8,Pet Supplies,,MAYBE,CASH FLOW | 300/mo | GBP2.27 profit | GBP681.00 monthly gross | SQUEEZED | 2 sellers,CASH FLOW,1,CASH FLOW | GBP681.00/mo | 300/mo | GBP2.27 unit profit | SQUEEZED | 2 sellers,7.8,10,10,9,0,8.9,3.1,7,GBP681,SQUEEZED,UNKNOWN,GBP54.59,GBP61.32,DROPPING (11%),GBP0.00,GBP0.00,GBP16.84,GBP35.48,GBP2.27,6.4%,GBP30.20,GBP8.35,1470,128,300,0.0,0,N,2,Y,0%,Unlikely,NO,NO,SYNTHETIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP681.00/mo | low IP risk | unlikely PL risk | dropping (11%) | supplier cost missing,Joinable,Reject,GBP30.20,GBP27.18,,Fail,Avoid listing,N
B0CRDX4NR2,"Cat Mate C500 5 Bowl Digital Timer-Controlled Automatic Pet Feeder - For Cats and Small Dogs, Wet or Dry Food, Includes Twin Ice Packs, 5 Meals Up To 330 g Each, Grey",Closer Pets,https://www.amazon.co.uk/dp/B0CRDX4NR2,Pet Supplies,,MAYBE,CASH FLOW | 230/mo | GBP2.40 profit | GBP552.00 monthly gross | stable | 3 sellers,CASH FLOW,1,CASH FLOW | GBP552.00/mo | 230/mo | GBP2.40 unit profit | stable | 3 sellers,7.0,10,8,8,0,9,3.4,7.3,GBP552,OK,UNKNOWN,GBP39.99,GBP39.73,STABLE,GBP0.00,GBP0.00,GBP11.60,GBP25.99,GBP2.40,9.2%,GBP22.70,GBP5.22,5315,115,200,0.0,0,N,3,Y,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP552.00/mo | low IP risk | - PL risk | stable | supplier cost missing,Joinable,Reject,GBP22.70,GBP20.43,,Fail,Avoid listing,N
B07BL4S7B3,*NEW* CASE OF 50 MIXED VARIETY VITAKRAFT DOG BEEF STICKS 5 FLAVOURS SOFT MEATY DOG TREAT STICKS,Vitakraft,https://www.amazon.co.uk/dp/B07BL4S7B3,Pet Supplies,,MAYBE,CASH FLOW | 300/mo | GBP1.77 profit | GBP531.00 monthly gross | stable | 4 sellers,CASH FLOW,1,CASH FLOW | GBP531.00/mo | 300/mo | GBP1.77 unit profit | stable | 4 sellers,7.2,10,10,6,0,9.1,3.1,7.1,GBP531,OK,UNKNOWN,GBP32.99,GBP33.68,STABLE,GBP0.00,GBP0.00,GBP9.78,GBP21.44,GBP1.77,8.2%,GBP18.56,GBP3.97,3699,99,300,0.0,0,N,4,Y,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP531.00/mo | low IP risk | - PL risk | stable | supplier cost missing,Joinable,Reject,GBP18.56,GBP16.70,,Fail,Avoid listing,N
B01BHUXKJY,Good Boy - Large Chewy Braids - Dog Chews - Made With Beef Hide and Beef Flavouring - 90 Grams ℮ - With Probiotics To Aid Digestion - Case of 14,Good Boy,https://www.amazon.co.uk/dp/B01BHUXKJY,Pet Supplies,,MAYBE,CASH FLOW | 210/mo | GBP1.99 profit | GBP417.90 monthly gross | stable | 5 sellers,CASH FLOW,1,CASH FLOW | GBP417.90/mo | 210/mo | GBP1.99 unit profit | stable | 5 sellers,7.2,10,10,6,0,9.1,3.1,7.1,GBP418,OK,UNKNOWN,GBP35.90,GBP36.16,STABLE,GBP0.00,GBP0.00,GBP10.57,GBP23.34,GBP1.99,8.5%,GBP20.26,GBP4.24,1612,105,200,0.0,0,N,5,Y,0%,-,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP418.00/mo | low IP risk | - PL risk | stable | supplier cost missing,Joinable,Reject,GBP20.26,GBP18.23,,Fail,Avoid listing,N
B0CKHRL2JG,"Zesty Paws 5in1 Multivitamins for Dogs | Supports Skin & Gut Health, Brain Function, Immune System, Physical Performance | With Vitamin A, B & C, Folic Acid, Biotin, L-Carnitine | Daily Use | 90 Chews",Zesty Paws,https://www.amazon.co.uk/dp/B0CKHRL2JG,Pet Supplies,,MAYBE,CASH FLOW | 400/mo | GBP0.97 profit | GBP388.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP388.00/mo | 400/mo | GBP0.97 unit profit | stable | 2 sellers,7.2,10,8,9,0,9.1,2.7,6.8,GBP388,OK,UNKNOWN,GBP27.95,GBP27.11,RISING (3%),GBP0.00,GBP0.00,GBP8.81,GBP18.17,GBP0.97,5.4%,GBP15.31,GBP4.05,1457,118,400,0.0,0,N,2,Y,0%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP388.00/mo | low IP risk | unlikely PL risk | rising (3%) | supplier cost missing,Joinable,Reject,GBP15.31,GBP13.78,,Fail,Avoid listing,N
B01MXDFB28,"Cat Mate C300 Automatic 3 Meal Pet Feeder with Digital Timer (366) - For Cats or Small Dogs, For Wet and Dry Pet Food, Meals up to 330 g Each, White",Cat Mate,https://www.amazon.co.uk/dp/B01MXDFB28,Pet Supplies,,MAYBE,CASH FLOW | 290/mo | GBP1.26 profit | GBP365.40 monthly gross | stable | 4 sellers,CASH FLOW,1,CASH FLOW | GBP365.40/mo | 290/mo | GBP1.26 unit profit | stable | 4 sellers,7.2,10,10,6,0,9.1,3.1,7.1,GBP365,OK,UNKNOWN,GBP29.99,GBP31.14,SLIGHT DIP (4%),GBP0.00,GBP0.00,GBP9.24,GBP19.49,GBP1.26,6.4%,GBP16.60,GBP4.58,1176,145,200,0.0,0,N,4,Y,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP365.00/mo | low IP risk | - PL risk | slight dip (4%) | supplier cost missing,Joinable,Reject,GBP16.60,GBP14.94,,Fail,Avoid listing,N
B0C24LF4SS,"Puptons Total Urinary Care | Dog UTI, Incontinence & Cystitis Relief Tablets | Natural Ingredients | Advanced Bladder & Kidney Support for Dogs (60 Tablets) | Puptons",puptons,https://www.amazon.co.uk/dp/B0C24LF4SS,Pet Supplies,,MAYBE,CASH FLOW | 202/mo | GBP1.39 profit | GBP280.80 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP280.80/mo | 202/mo | GBP1.39 unit profit | stable | 2 sellers,7.8,10,10,9,0,9.4,3.3,7.3,GBP281,OK,UNKNOWN,GBP29.99,GBP29.99,STABLE,GBP0.00,GBP0.00,GBP9.11,GBP19.49,GBP1.39,7.1%,GBP16.70,GBP3.97,2202,101,100,0.0,0,N,2,Y,0%,Unlikely,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP281.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Reject,GBP16.70,GBP15.03,,Fail,Avoid listing,N
B0888GKW11,"Buddy & Lola Dog Weight Gainer Supplement - Protein For Dogs, Helps Build Muscle, Aids Recovery, Great for Fussy Eaters, A Must Have For Rescue Dogs Who Need to Gain Weight and Build Muscle",Buddy & Lola,https://www.amazon.co.uk/dp/B0888GKW11,Pet Supplies,,MAYBE,CASH FLOW | 364/mo | GBP0.77 profit | GBP280.30 monthly gross | SQUEEZED | 3 sellers,CASH FLOW,1,CASH FLOW | GBP280.30/mo | 364/mo | GBP0.77 unit profit | SQUEEZED | 3 sellers,7.6,10,10,8,0,8.8,2.1,6.4,GBP280,SQUEEZED,UNKNOWN,GBP26.32,GBP31.64,DROPPING (17%),GBP0.00,GBP0.00,GBP8.44,GBP17.11,GBP0.77,4.5%,GBP14.30,GBP3.97,4485,182,100,0.0,0,N,3,Y,0%,-,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP280.00/mo | low IP risk | - PL risk | dropping (17%) | supplier cost missing,Joinable,Reject,GBP14.30,GBP12.80,,Fail,Avoid listing,N
B009F0D8X2,"Pooch & Mutt - Daily Joint Care Supplement for Large Dogs, Hip and Joint Aid, 230g (packaging may vary)",Pooch & Mutt,https://www.amazon.co.uk/dp/B009F0D8X2,Pet Supplies,,MAYBE,CASH FLOW | 194/mo | GBP1.32 profit | GBP256.10 monthly gross | stable | 5 sellers,CASH FLOW,1,CASH FLOW | GBP256.10/mo | 194/mo | GBP1.32 unit profit | stable | 5 sellers,7.2,10,10,6,0,9.1,3.1,7.1,GBP256,OK,UNKNOWN,GBP29.99,GBP29.98,STABLE,GBP0.00,GBP0.00,GBP9.18,GBP19.49,GBP1.32,6.8%,GBP16.64,GBP4.05,995,97,100,0.0,0,N,5,Y,0%,-,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP256.00/mo | low IP risk | - PL risk | stable | supplier cost missing,Joinable,Reject,GBP16.64,GBP14.98,,Fail,Avoid listing,N
B0F7Y8QJKZ,"Ultimate Cat Proof Fence Anti-Climb Barrier – Secure Outdoor Catio Enclosure Kit, Weatherproof Garden Mesh Fencing for Cat Safety & Protection (10 M)",50CT,https://www.amazon.co.uk/dp/B0F7Y8QJKZ,Pet Supplies,,MAYBE,CASH FLOW | 114/mo | GBP2.18 profit | GBP248.50 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP248.50/mo | 114/mo | GBP2.18 unit profit | stable | 2 sellers,7.8,10,10,9,0,9.4,3.6,7.5,GBP249,OK,UNKNOWN,GBP57.99,GBP58.34,STABLE,GBP0.00,GBP0.00,GBP18.12,GBP37.69,GBP2.18,5.8%,GBP31.89,GBP9.16,5260,57,50,0.0,0,N,2,Y,0%,Unlikely,NO,NO,SYNTHETIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP249.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Reject,GBP31.89,GBP28.70,,Fail,Avoid listing,N
B0D791C3JP,"KYG Extra Stable & Waterproof Dog Car Seat - Non-Slip, Scratch-Resistant for Large Dogs (up to 26 kg) with 4 Attachment Straps for Back Seat",KYG,https://www.amazon.co.uk/dp/B0D791C3JP,Pet Supplies,,MAYBE,CASH FLOW | 270/mo | GBP0.90 profit | GBP243.00 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP243.00/mo | 270/mo | GBP0.90 unit profit | stable | 2 sellers,7.2,10,8,9,0,9,2.5,6.7,GBP243,OK,UNKNOWN,GBP30.99,GBP29.96,RISING (3%),GBP0.00,GBP0.00,GBP9.95,GBP20.14,GBP0.90,4.5%,GBP16.83,GBP5.22,8459,135,100,0.0,0,N,2,Y,0%,Unlikely,NO,NO,SYNTHETIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,N,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,KILL,35,KILL | CASH FLOW | GBP243.00/mo | low IP risk | unlikely PL risk | rising (3%) | supplier cost missing,Joinable,Reject,GBP16.83,GBP15.15,,Fail,Avoid listing,N
