ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN,Demand Score,Stability Score,Competition Score,Margin Score,Composite Score,Cash Flow Score,Profit Score,Balanced Score,Opportunity Lane,Commercial Priority,Monthly Gross Profit,Price Compression,Lane Reason,Verdict,Verdict Reason
B00KGWI1D0,Canagan Light / Senior Free Run Chicken Grain Free 6kg,Canagan,https://www.amazon.co.uk/dp/B00KGWI1D0,Pet Supplies,OK,55.98,56.25,0.0%,27175,41982,33,0,4,0,N,0.00,9.40,9.40,36.39,10.20,28.0%,38.82,45.78,0%,Wholesale Ways (66%) / AIKRHLG63JPX8,no,4.6,22,1,N,3,WEAK,N,-,,,KEEPA,5060358539879,,,9,10,6,6,8.1,9.1,8.8,9.4,BALANCED,1,673.20,OK,BALANCED | GBP673.20/mo | 66/mo | GBP10.20 unit profit | stable | 4 sellers,MAYBE,BALANCED | 66/mo | GBP10.20 profit | GBP673.20 monthly gross | stable | 4 sellers
B09M49HNKS,Bactador Enzyme Cleaner Concentrate 10L - Enzymatic cleaner & Cat urine enzyme cleaner - Pet carpet cleaner - Microbiological urine neutraliser - Pet stain and odour remover - Makes up to 500 litres,Bactador,https://www.amazon.co.uk/dp/B09M49HNKS,Pet Supplies,HEAVY,54.99,63.23,13.0%,10181,8583,43,0,2,0,Y,3.58,8.10,11.68,35.74,7.57,21.2%,36.09,47.42,25%,Linivex Goods (80%) / A2H8E5HWYVUNND,yes,4.4,3459,7,Y,5,STRONG,N,-,,AMAZON CHECK; LOW SELLER CHECK,KEEPA,4019181501622,,,10,10,9,2,8.2,9.2,7.2,8.6,BALANCED,1,651.00,SQUEEZED,BALANCED | GBP651.00/mo | 86/mo | GBP7.57 unit profit | SQUEEZED | 2 sellers,MAYBE,BALANCED | 86/mo | GBP7.57 profit | GBP651.00 monthly gross | SQUEEZED | 2 sellers
B0D88ZCM8M,"KINZUA ENVIRONMENTAL Urine B-Gone, Professional Enzyme Odor Eliminator & Pet Stain Remover, Human, Cat & Dog Urine Cleaner, Effective on Laundry, Carpets & More (3.79Liter (Pack of 1), Lavender)",Kinzua Environmental,https://www.amazon.co.uk/dp/B0D88ZCM8M,Pet Supplies,OK,68.75,69.39,1.0%,29328,20528,30,0,5,0,N,3.54,9.95,13.49,44.69,10.58,23.7%,46.05,58.17,0%,EGNC LTD (76%) / A3TTZ9OREHA04H,no,4.2,5545,8,Y,5,STRONG,N,-,,,KEEPA,0860011585664,860011585664,,10,10,6,4,8,9,8.2,9.3,BALANCED,1,634.80,OK,BALANCED | GBP634.80/mo | 60/mo | GBP10.58 unit profit | stable | 5 sellers,MAYBE,BALANCED | 60/mo | GBP10.58 profit | GBP634.80 monthly gross | stable | 5 sellers
B0FDKVYTGH,Panana 136cm Large Bird Cage Parrot Cages Wide Flight Metal Animal Cage for Cockatiel Lovebird Budgie Parakeet Durable Frame With Perch Stand and Wheels (Black),Panana,https://www.amazon.co.uk/dp/B0FDKVYTGH,Pet Supplies,OK,55.99,55.99,0.0%,12324,34347,31,0,3,0,N,0.00,9.40,9.40,36.39,10.20,28.0%,38.83,45.79,0%,Timber Artscraft (70%) / A2O5PV88HW6O3Y,no,4.7,35,9,N,4,AVERAGE,N,-,,,KEEPA,0710917611410,710917611410,,10,10,8,6,8.8,9.3,8.9,9.5,BALANCED,1,632.40,OK,BALANCED | GBP632.40/mo | 62/mo | GBP10.20 unit profit | stable | 3 sellers,YES,BALANCED | 62/mo | GBP10.20 profit | GBP632.40 monthly gross | stable | 3 sellers
B076HLDWPP,Royal Canin Chihuahua Adult Wet Dog Pouches 85g (Pack of 48),MALTBY'S CORN STORES,https://www.amazon.co.uk/dp/B076HLDWPP,Pet Supplies,OK,39.80,46.45,14.0%,13746,22935,43,0,4,0,N,0.00,6.90,6.90,25.87,7.03,27.2%,27.42,32.77,0%,T&L TRADE LTD (46%) / A1K1BXRD8GMXFE,no,4.6,68,9,N,4,AVERAGE,N,-,,,KEEPA,7109765765438,,,10,10,6,5,8.2,9,7.7,8.6,BALANCED,1,604.60,SQUEEZED,BALANCED | GBP604.60/mo | 86/mo | GBP7.03 unit profit | SQUEEZED | 4 sellers,MAYBE,BALANCED | 86/mo | GBP7.03 profit | GBP604.60 monthly gross | SQUEEZED | 4 sellers
B071KG4DSQ,"Other Vetspec Healthy Dog Adult Formula 12kg, Clear",Other,https://www.amazon.co.uk/dp/B071KG4DSQ,Pet Supplies,OK,67.99,68.05,0.0%,24877,41326,31,0,3,0,N,2.91,11.24,14.15,44.19,9.64,21.8%,44.86,58.35,0%,PetsApply (97%) / A1KM72FJ6L90IP,no,4.6,25,1,N,3,WEAK,N,-,,,KEEPA,5060111811112,,,9,10,8,4,8.1,9.3,7.9,9.1,BALANCED,1,597.70,OK,BALANCED | GBP597.70/mo | 62/mo | GBP9.64 unit profit | stable | 3 sellers,BRAND APPROACH,BALANCED | 62/mo | GBP9.64 profit | GBP597.70 monthly gross | stable | 3 sellers
B0BYK1Y7MS,Time Greyhound 28 15KG X 2 (30KG) 28% protein dog biscuit,Vanstart,https://www.amazon.co.uk/dp/B0BYK1Y7MS,Pet Supplies,OK,46.99,46.99,0.0%,16124,21709,33,0,2,0,N,0.00,8.01,8.01,30.54,8.44,27.6%,32.49,38.55,0%,E & E Corn Supplies (93%) / A6D2RDT5KWY5,no,4.5,35,1,N,3,WEAK,N,-,,LOW SELLER CHECK,KEEPA,,,,10,10,9,6,9,9.4,8.6,9.3,BALANCED,1,557.00,OK,BALANCED | GBP557.00/mo | 66/mo | GBP8.44 unit profit | stable | 2 sellers,YES,BALANCED | 66/mo | GBP8.44 profit | GBP557.00 monthly gross | stable | 2 sellers
B0D9YBT86Q,"Extra Long 170cm Foldable Dog Ramps for Cars, Pet Ramps for Dogs with Non-Slip Rug Surface, Extra Wide Dog Steps for Medium & Large Dogs Up to 250LBS Enter a Car, SUV & Truck",BADGESHAND,https://www.amazon.co.uk/dp/B0D9YBT86Q,Pet Supplies,HEAVY,66.99,66.99,0.0%,18159,42628,34,0,2,0,N,5.55,9.71,15.26,43.54,8.19,18.8%,43.11,58.80,0%,COLD PLUS LIMITED (75%) / A27E0CP4WF43QS,yes,4.3,65,7,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,,10,10,9,1,8,9.3,7.1,9,BALANCED,1,556.90,OK,BALANCED | GBP556.90/mo | 68/mo | GBP8.19 unit profit | stable | 2 sellers,MAYBE,BALANCED | 68/mo | GBP8.19 profit | GBP556.90 monthly gross | stable | 2 sellers
B003ZG8USU,"NT Labs Medikoi Sturgeon Multi-Season, Complete Feed For Sturgeon, Ideal For All Year Round Feeding, Fast Sinking Pellet, Highly Palatable Pond Fish Feed (5 kg)(4.5mm)(Standard)",NT Labs,https://www.amazon.co.uk/dp/B003ZG8USU,Pet Supplies,OK,52.79,52.78,0.0%,19198,22411,25,0,5,0,N,0.00,8.90,8.90,34.31,9.57,27.9%,36.57,43.22,0%,Aquatics Discount (92%) / A2MYEVYTNLKQFQ,no,4.5,179,5,Y,5,AVERAGE,N,-,,,KEEPA,0733809003889,733809003889,,10,10,6,6,8.4,8.7,8.5,8.9,BALANCED,1,478.50,OK,BALANCED | GBP478.50/mo | 50/mo | GBP9.57 unit profit | stable | 5 sellers,MAYBE,BALANCED | 50/mo | GBP9.57 profit | GBP478.50 monthly gross | stable | 5 sellers
B07199FYK4,NT Labs Medikoi Probiotic Growth 5kg 6mm Pellet,NT Labs,https://www.amazon.co.uk/dp/B07199FYK4,Pet Supplies,OK,62.05,65.09,5.0%,34914,59369,21,0,3,0,N,0.00,10.33,10.33,40.33,11.38,28.2%,43.10,50.67,0%,Swell UK Ltd (83%) / A26OWSNZ5YFB0H,no,4.5,103,5,N,4,AVERAGE,N,-,,,KEEPA,0733809001366,733809001366,,8,10,8,6,8.2,8.9,8.8,9.2,BALANCED,1,478.00,OK,BALANCED | GBP478.00/mo | 42/mo | GBP11.38 unit profit | stable | 3 sellers,MAYBE,BALANCED | 42/mo | GBP11.38 profit | GBP478.00 monthly gross | stable | 3 sellers
B0D2KSYJL1,"Arcadia LumenIZE Pro T5 UVB Kit, ShadeDweller 7% UV-B, 8 Watt Reptile Terrarium Vivarium Light Unit",Arcadia,https://www.amazon.co.uk/dp/B0D2KSYJL1,Pet Supplies,OK,55.45,55.97,1.0%,30856,47158,22,0,3,0,N,0.00,9.31,9.31,36.04,10.09,28.0%,38.45,45.36,0%,aquacadabra (93%) / A1PH60OYR84OEQ,no,3.5,17,4,N,3,AVERAGE,N,-,,,KEEPA,5018296000531,,,8,10,7,6,8,8.8,8.8,9.2,BALANCED,1,444.00,OK,BALANCED | GBP444.00/mo | 44/mo | GBP10.09 unit profit | stable | 3 sellers,MAYBE,BALANCED | 44/mo | GBP10.09 profit | GBP444.00 monthly gross | stable | 3 sellers
B074RGX6KB,Frozen Fish Food - Bloodworm Blister Pack 100g x11,CHUWPI,https://www.amazon.co.uk/dp/B074RGX6KB,Pet Supplies,OK,26.07,26.30,1.0%,17017,20831,51,0,2,0,N,0.00,4.78,4.78,16.95,4.35,25.7%,17.74,21.72,0%,aquacadabra (93%) / A1PH60OYR84OEQ,no,4.6,212,1,N,3,WEAK,N,-,,LOW SELLER CHECK,KEEPA,"0700461926498, 0750258359091","700461926498, 750258359091",,10,10,9,5,8.8,9.8,7.7,8.8,BALANCED,1,443.70,OK,BALANCED | GBP443.70/mo | 102/mo | GBP4.35 unit profit | stable | 2 sellers,YES,BALANCED | 102/mo | GBP4.35 profit | GBP443.70 monthly gross | stable | 2 sellers
B07NCRHQJF,Megazorb 2 x bedding highly absorbent 2 x 85L bags,Megazorb,https://www.amazon.co.uk/dp/B07NCRHQJF,Pet Supplies,OK,37.95,37.84,0.0%,27347,24264,31,0,2,0,N,0.00,6.61,6.61,24.67,6.67,27.0%,26.12,31.28,0%,BlueSkyFeeds (92%) / A3ESI81BUL9OW6,no,4.6,80,3,N,3,WEAK,N,-,,LOW SELLER CHECK,KEEPA,5056215408068,,,9,10,9,5,8.5,9.4,8.3,9,BALANCED,1,413.50,OK,BALANCED | GBP413.50/mo | 62/mo | GBP6.67 unit profit | stable | 2 sellers,YES,BALANCED | 62/mo | GBP6.67 profit | GBP413.50 monthly gross | stable | 2 sellers
B07V8YWKVM,"Hill's Prescription Diet Gastrointestinal Biome Digestive/Fiber Care Chicken & Vegetable Stew Wet Cat Food, Veterinary Diet, 2.9 oz. Cans, 24-Pack",HILL'S PRESCRIPTION DIET,https://www.amazon.co.uk/dp/B07V8YWKVM,Pet Supplies,OK,42.99,48.32,11.0%,12262,20984,46,0,2,0,N,3.33,7.39,10.72,27.94,4.33,15.5%,26.90,38.66,0%,Buy with a smile Ltd (100%) / AAL6WU0XFY,yes,4.6,204,14,N,4,AVERAGE,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,0052742024592,052742024592,,10,10,9,1,8,9.2,5.6,8,BALANCED,1,398.40,SQUEEZED,BALANCED | GBP398.40/mo | 92/mo | GBP4.33 unit profit | SQUEEZED | 2 sellers,MAYBE,BALANCED | 92/mo | GBP4.33 profit | GBP398.40 monthly gross | SQUEEZED | 2 sellers
B00DO1MGVS,Heiniger Snap On Blade 7F,Heiniger,https://www.amazon.co.uk/dp/B00DO1MGVS,Pet Supplies,OK,54.15,54.90,1.0%,21785,42701,25,0,2,0,N,2.07,9.11,11.18,35.20,7.77,22.1%,35.81,46.38,0%,Diamond Edge Ltd (88%) / A2IGC9O7XLRUDH,no,4.5,50,2,N,3,WEAK,N,-,,LOW SELLER CHECK,KEEPA,7613073028050,,07613073028050,9,10,9,3,8.1,9,7.6,8.7,BALANCED,1,388.50,OK,BALANCED | GBP388.50/mo | 50/mo | GBP7.77 unit profit | stable | 2 sellers,BRAND APPROACH,BALANCED | 50/mo | GBP7.77 profit | GBP388.50 monthly gross | stable | 2 sellers
B0CB4Q6P1C,"Panana Large Bird Cages Parrot Cage Wide Flight Metal Animal Cage for Budgie Parakeet Conure With Rolling Stand Wheels (Black, 95L x 45.5W x 105H)",Panana,https://www.amazon.co.uk/dp/B0CB4Q6P1C,Pet Supplies,OK,55.99,55.99,0.0%,11254,19665,19,0,2,0,N,0.00,9.40,9.40,36.39,10.20,28.0%,38.83,45.79,0%,Timber Artscraft (70%) / A2O5PV88HW6O3Y,no,4.3,326,9,N,4,AVERAGE,N,-,,LOW SELLER CHECK,KEEPA,,,,10,10,9,6,9,8.6,8.9,9,BALANCED,1,387.60,OK,BALANCED | GBP387.60/mo | 38/mo | GBP10.20 unit profit | stable | 2 sellers,YES,BALANCED | 38/mo | GBP10.20 profit | GBP387.60 monthly gross | stable | 2 sellers
B08MQHHW69,"Silver Engraved Adult Cremation Urn for Human Ashes - Handcrafted Funeral Memorial Large Burial Urn (7.5"" x 7.5"" x 9.5""- 200lbs or 91kg, Cloud Blue) - Bag Included",Hind Handicrafts,https://www.amazon.co.uk/dp/B08MQHHW69,Pet Supplies,OK,57.37,57.37,0.0%,18391,45211,27,0,2,0,N,3.35,9.61,12.96,37.29,7.12,19.1%,37.01,50.25,0%,Hind-Handicrafts (87%) / A11077UJWT4N7V,yes,4.9,131,5,N,4,AVERAGE,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,,10,10,9,1,8,8.9,6.7,8.5,BALANCED,1,384.50,OK,BALANCED | GBP384.50/mo | 54/mo | GBP7.12 unit profit | stable | 2 sellers,MAYBE,BALANCED | 54/mo | GBP7.12 profit | GBP384.50 monthly gross | stable | 2 sellers
B07CQ4Y1N5,Science Supplements FlexAbility+ Plus Horse Supplement x Size: 1.7 Kg Tub,Science Supplements,https://www.amazon.co.uk/dp/B07CQ4Y1N5,Pet Supplies,OK,66.97,68.64,2.0%,24814,56167,21,0,3,0,N,3.25,11.09,14.34,43.53,9.10,20.9%,43.86,57.87,0%,Equine Essentials. (61%) / A3NE8B85VOLWX,no,4.0,24,1,N,3,WEAK,N,-,,,KEEPA,,,,9,10,8,4,8.1,8.9,7.8,8.9,BALANCED,1,382.20,OK,BALANCED | GBP382.20/mo | 42/mo | GBP9.10 unit profit | stable | 3 sellers,BRAND APPROACH,BALANCED | 42/mo | GBP9.10 profit | GBP382.20 monthly gross | stable | 3 sellers
B0DYT4PLXL,"Automatic Cat Feeder with 1080P HD Camera, 4L Cat Feeder Automatic with Timer, Night Vision, Two-Way Audio Interacting, Smart Food Dispenser with Dual Power Supply, Auto Pet Feeder for Cats & Dogs",Vibefit,https://www.amazon.co.uk/dp/B0DYT4PLXL,Pet Supplies,OK,42.99,52.41,18.0%,23375,52764,20,0,2,0,N,1.83,3.85,5.68,27.94,9.37,33.5%,31.09,33.62,0%,SGUTY GTID (100%) / A3OU3WHFG5EHDI,yes,3.9,35,9,Y,5,STRONG,N,-,,LOW SELLER CHECK,KEEPA,0671891526803,671891526803,,9,10,9,8,9.1,8.5,8.7,8.6,BALANCED,1,374.80,SQUEEZED,BALANCED | GBP374.80/mo | 40/mo | GBP9.37 unit profit | SQUEEZED | 2 sellers,YES,BALANCED | 40/mo | GBP9.37 profit | GBP374.80 monthly gross | SQUEEZED | 2 sellers
B0002AQI9U,"Elite Airline Tubing, Blue, 76 m/ 250 ft",Marina,https://www.amazon.co.uk/dp/B0002AQI9U,Pet Supplies,OK,65.65,66.53,1.0%,20871,13955,20,0,2,0,N,3.25,10.88,14.13,42.67,8.84,20.7%,42.93,56.81,0%,Accesoralia (29%) / AC8XY1NNVHK5W,no,4.6,2279,5,N,4,AVERAGE,N,-,,LOW SELLER CHECK,KEEPA,"0015561111270, 0155611112779","015561111270, 155611112779",00015561111270,10,10,9,4,8.6,9,7.9,8.9,BALANCED,1,353.60,OK,BALANCED | GBP353.60/mo | 40/mo | GBP8.84 unit profit | stable | 2 sellers,YES,BALANCED | 40/mo | GBP8.84 profit | GBP353.60 monthly gross | stable | 2 sellers
B01ETAF5WO,Burgess Adult Cat Scottish Salmon 10kg pack of 1,Burgess,https://www.amazon.co.uk/dp/B01ETAF5WO,Pet Supplies,OK,32.99,32.99,0.0%,15424,22080,31,0,2,0,N,0.00,5.85,5.85,21.44,5.70,26.6%,22.62,27.29,0%,Energy-Star (88%) / A1QKNW4W5SPM7T,no,4.5,122,1,N,3,WEAK,N,-,,LOW SELLER CHECK,KEEPA,5057065235446,,,10,10,9,5,8.8,9.4,7.9,8.8,BALANCED,1,353.40,OK,BALANCED | GBP353.40/mo | 62/mo | GBP5.70 unit profit | stable | 2 sellers,YES,BALANCED | 62/mo | GBP5.70 profit | GBP353.40 monthly gross | stable | 2 sellers
B0DQBRY2JY,"PETKARAY 105° Cat Scratcher, Sisal Scratch Pad, L Shape Scratching Board for Indoor Cats, Floor Mounted Scratcher with Mouse Toy Catnip",PETKARAY,https://www.amazon.co.uk/dp/B0DQBRY2JY,Pet Supplies,OK,67.75,72.05,6.0%,10603,12850,19,0,3,0,N,3.34,11.21,14.55,44.04,9.17,20.8%,44.34,58.58,0%,Amazon US (0%) / A2KVF7QXNCLV8H,no,4.1,396,7,Y,5,STRONG,N,-,,,KEEPA,,,,10,10,8,4,8.4,8.5,7.8,8.6,BALANCED,1,348.50,OK,BALANCED | GBP348.50/mo | 38/mo | GBP9.17 unit profit | stable | 3 sellers,MAYBE,BALANCED | 38/mo | GBP9.17 profit | GBP348.50 monthly gross | stable | 3 sellers
B00NE4KNT2,SPILLERS Shine+ Conditioning Mix Horse Feed 20KG – Food for Building Topline and Optimum Condition – Horse Feed with Oil for Coat Shine,SPILLERS,https://www.amazon.co.uk/dp/B00NE4KNT2,Pet Supplies,OK,25.36,26.76,5.0%,17679,20076,39,0,2,0,N,0.00,4.67,4.67,16.48,4.21,25.5%,17.24,21.15,0%,JHO Supplies (74%) / AQWVEZ1VS08ZZ,no,4.9,26,9,Y,5,STRONG,N,-,,LOW SELLER CHECK,KEEPA,5053368474995,,,10,10,9,5,8.8,9.4,7.6,8.5,BALANCED,1,328.40,OK,BALANCED | GBP328.40/mo | 78/mo | GBP4.21 unit profit | stable | 2 sellers,YES,BALANCED | 78/mo | GBP4.21 profit | GBP328.40 monthly gross | stable | 2 sellers
B0C36VDLG9,"Dog Agility Set, Portable Pet Jump Training Equipment Kit of 6 Poles & 6 Cones with Carry Bag, 3 PCS Adjustable Height Jumping Obstacles For Pets",22YardsPro,https://www.amazon.co.uk/dp/B0C36VDLG9,Pet Supplies,OK,29.99,29.19,-3.0%,16882,20952,32,0,2,0,N,0.00,5.38,5.38,19.49,5.11,26.2%,20.51,24.88,0%,DABANG UK (66%) / A3N4HTN46J8IY5,no,4.5,51,4,N,3,AVERAGE,N,-,,LOW SELLER CHECK,KEEPA,,,,10,8,9,5,8.2,9.1,7.7,8.5,BALANCED,1,327.00,OK,BALANCED | GBP327.00/mo | 64/mo | GBP5.11 unit profit | stable | 2 sellers,MAYBE,BALANCED | 64/mo | GBP5.11 profit | GBP327.00 monthly gross | stable | 2 sellers
